ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
92.71.243.24,80001f888021d9184cba71f967,1,3952740,8072,No Mac indication (0x03)
95.97.83.44,80003a8c04,0,0,invalid,invalid
92.64.8.53,80000009030084b802a2deca,7,1226025,9,0084b802a2deca
93.92.27.141,8000000903004c776d8486a4,2,7266017,9,004c776d8486a4
109.109.111.120,80000009030028affd0e6300,11,10689471,9,0028affd0e6300
145.131.159.207,80000009ee000008e3fffc08,3,52591200,9,No Mac indication (0x03)
144.178.226.56,800000090300f8c288cb2f29,3,9328246,9,00f8c288cb2f29
149.143.20.168,80000009030088f031e2cd80,2,62818262,9,0088f031e2cd80
145.131.134.65,80003a8c04,0,0,invalid,invalid
89.20.82.47,80001f8880d5af8e2d0f751e66,13,7664633,8072,No Mac indication (0x03)
94.211.120.52,80000b2f05705a9e61655d33,1,2683598,2863,No Mac indication (0x03)
92.67.221.184,80000009030080248fdc7880,10,10047852,9,0080248fdc7880
94.127.96.228,800000090300002255ec60d8,18,159684805,9,00002255ec60d8
91.233.67.202,00000063000000a17f5e29ce,14,357478,99,not_set
91.232.115.169,800000090300b0aa7727b000,21,89162335,9,00b0aa7727b000
87.195.106.80,80000009ee00b0faeb1f4400,16,10843900,9,No Mac indication (0x03)
90.145.132.3,800000e804435a4a39313230393631,4,1748349855,232,No Mac indication (0x03)
94.103.158.49,8000000903000005740fb2bc,8,191952923,9,000005740fb2bc
109.109.101.233,800000090300b0c53ce4ad80,34,31934022,9,00b0c53ce4ad80
87.237.30.45,800000090300b4de31a1e210,8,7166371,9,00b4de31a1e210
149.143.12.114,800000090300588b1c9d3680,16,3126866,9,00588b1c9d3680
87.250.153.244,80001f8880115cc94fc2c3185700000000,58,51856480,8072,No Mac indication (0x03)
128.199.41.145,80001f88803b11fd1324814a5800000000,44,26459924,8072,No Mac indication (0x03)
93.190.141.109,80001f8880040be3604f0c846500000000,5,4554180,8072,No Mac indication (0x03)
87.213.77.136,8000000903004c008267d080,2,18493033,9,004c008267d080
94.208.9.0,8000000903007018a7662400,7,27179494,9,007018a7662400
95.128.3.199,8000000903000023ea702001,14,154321746,9,000023ea702001
94.103.153.225,8000000903000005740fb2bc,8,191952926,9,000005740fb2bc
91.215.4.127,800000090300286f7f43b600,6,50405542,9,00286f7f43b600
92.64.243.151,80000009030000351a57d6c0,1,25995454,9,0000351a57d6c0
92.67.143.227,80000009030028affdc76f80,51,22643758,9,0028affdc76f80
94.212.132.255,800000090300f8a73af0f400,11,18614289,9,00f8a73af0f400
93.117.211.105,8000000903004c710de35e80,34,26432696,9,004c710de35e80
93.117.215.129,800000090300a03d6e045e00,10,64514199,9,00a03d6e045e00
94.213.10.255,800000090300d4ad710d4400,23,27176687,9,00d4ad710d4400
109.109.124.104,800000090300a84fb1b2df80,14,33324146,9,00a84fb1b2df80
149.143.22.18,800000090300d072dccd2280,25,7299791,9,00d072dccd2280
94.212.202.136,80000b2f05b0c2877e94e733,1,1245619,2863,No Mac indication (0x03)
136.144.183.61,80001f8880089c7c407eda545a00000000,28,42013068,8072,No Mac indication (0x03)
91.198.103.8,80001f8880d458e72324cf426700000000,14,3663012,8072,No Mac indication (0x03)
93.117.237.63,800007db03cc208cbc1020,11,8933478,2011,cc208cbc1020
109.109.107.113,800000090300a84fb1b2df80,14,33324147,9,00a84fb1b2df80
94.228.213.130,80001f8880dd1b2b0a92a5de52,51,60003,8072,No Mac indication (0x03)
91.238.154.136,800000090300649ef30afc40,11,90741450,9,00649ef30afc40
139.28.200.190,80000009030028affdf1a700,11,86403785,9,0028affdf1a700
92.65.66.213,80001f8880af6aa4043e8c2b67,5,2246146,8072,No Mac indication (0x03)
136.144.30.1,80000a4c0188901e01,1,71266683,2636,No Mac indication (0x03)
92.65.98.45,800000090300b08bcf0545bc,4,2241345,9,00b08bcf0545bc
93.117.207.207,800007db03dcef8032b33c,10,27437243,2011,dcef8032b33c
87.236.3.148,8000000903006c8d7716a080,25,697446,9,006c8d7716a080
144.178.250.79,8000000903006cb2aed21e27,4,279952,9,006cb2aed21e27
94.209.210.1,800000090300285261fabc00,12,29514182,9,00285261fabc00
145.131.241.94,800000090300002545e634a0,2,4595952,9,00002545e634a0
87.210.222.1,502660000000010030000078,6,57250742,1344692224,not_set
94.142.211.15,800000090300d4e880f64700,18,5956118,9,00d4e880f64700
89.146.51.12,80000009ee005c5ac76e63cf,7,41565855,9,No Mac indication (0x03)
87.212.241.255,502660000000010030000087,11,49641775,1344692224,not_set
95.99.8.0,502660000000010030000010,6,49036290,1344692224,not_set
109.206.176.54,80001f8880225b1f7c00be206600000000,2,34931132,8072,No Mac indication (0x03)
92.65.216.0,8000000903003c510e67f740,2,10042294,9,003c510e67f740
89.98.72.255,80000009030000a289267000,8,27872255,9,0000a289267000
94.210.20.1,8000000903006c410e8fb800,8,29600075,9,006c410e8fb800
145.128.205.114,800000090300b0c53c7adf80,12,5928005,9,00b0c53c7adf80
94.103.144.177,8000000903000005740fb2bc,8,191952935,9,000005740fb2bc
92.48.221.2,80000009034c0082d32f00,0,0,9,4c0082d32f00
93.157.0.99,80001f88807dcb367e806bce4f00000000,73,36597632,8072,No Mac indication (0x03)
