ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
5.10.118.34,f5717f001c7354d06300,12,84617983,1970372352,No Mac indication (0x03)
5.188.86.113,80000a4c030c599c5a1400,4,149528600,2636,0c599c5a1400
45.8.246.192,800000090300843dc6acd300,3,11859209,9,00843dc6acd300
5.57.250.114,80001f8880ef1fed29518ae867,1,5047440,8072,No Mac indication (0x03)
31.160.11.15,800000090300707db9a62820,2,102647149,9,00707db9a62820
31.161.22.247,800000090300fcfbfb8e0301,9,17437362,9,00fcfbfb8e0301
31.160.244.25,800000090300d4789b792200,10,1024746,9,00d4789b792200
37.74.73.0,8000000903002c5a0faa1d16,4,30602961,9,002c5a0faa1d16
31.160.31.129,8000000903007079b3062158,2,42425883,9,007079b3062158
31.149.72.129,800000090300e4387ed01100,14,11327633,9,00e4387ed01100
31.160.121.223,800000090300a03d6e6c9680,10,98757118,9,00a03d6e6c9680
31.161.78.199,8000000903002c5a0ff73250,2,19948133,9,002c5a0ff73250
37.114.88.62,800000090300001c58e18881,4,1161895,9,00001c58e18881
31.160.156.233,80000009030000a2ee59e530,2,16146115,9,0000a2ee59e530
37.17.215.90,800000090300ec30919e3703,5,85841443,9,00ec30919e3703
5.172.219.87,800007db03c4b8b48d48fa,28,2932313,2011,c4b8b48d48fa
31.160.90.48,800000090300008764657e80,1,9419038,9,00008764657e80
31.160.177.135,800000090300fc5b39d3694c,3,532433,9,00fc5b39d3694c
37.26.224.207,000000090300cced4dbbb7d0,3,6544052,9,not_set
31.3.8.152,80000009030058ac78269080,11,99143069,9,0058ac78269080
31.223.160.208,80000009030034ed1bdffa80,11,60442987,9,0034ed1bdffa80
31.3.15.139,80000009030058ac78269080,11,99143069,9,0058ac78269080
37.235.116.55,800000090300d4eb68ebc900,6,90431548,9,00d4eb68ebc900
45.11.166.255,8000000903000462739de3eb,3,13746494,9,000462739de3eb
31.160.170.155,80001f88808c9d8f7e44beff6600000000,1,20303979,8072,No Mac indication (0x03)
31.160.96.128,80000009030078bc1a5b3680,5,101539798,9,0078bc1a5b3680
31.149.175.160,800000090300007888bd36bc,2,102212105,9,00007888bd36bc
37.1.110.23,80001f8880b860c35f891b335800000000,85,8551071,8072,No Mac indication (0x03)
45.81.220.142,800000090300ec01d5860601,7,13534407,9,00ec01d5860601
37.74.75.239,8000000903006871614eee47,1,16311602,9,006871614eee47
31.161.46.63,80000009030040017aa181f0,3,1182367,9,0040017aa181f0
31.149.221.217,800000090300bcd2954fad80,6,22970872,9,00bcd2954fad80
37.114.94.238,80001f888016392a5652360366,32,1694051,8072,No Mac indication (0x03)
37.247.33.177,8000000903000005740fb2bc,8,191939753,9,000005740fb2bc
31.3.14.81,800007c703002438435e40,237,29456681,1991,002438435e40
31.149.113.233,800000090300e4387ed60f80,8,15707824,9,00e4387ed60f80
45.80.100.62,8000048e05b077ac97b77e33,417,229770,1166,No Mac indication (0x03)
31.3.9.208,80000009030058ac78268c80,16,4549997,9,0058ac78268c80
37.235.112.80,8000000903000081c4698900,12,58287981,9,000081c4698900
31.161.20.231,800000090300cc167ed455c4,2,18739977,9,00cc167ed455c4
31.171.201.62,8000000903f80f6fe4c650,0,0,9,f80f6fe4c650
31.160.21.239,800000090300d4e880d86384,2,45350966,9,00d4e880d86384
31.149.210.72,800000090300ecce13f0c400,8,100934949,9,00ecce13f0c400
37.247.34.64,8000000903000005740fb2bc,8,191939753,9,000005740fb2bc
37.247.46.255,8000000903000005740fb2bc,8,191939753,9,000005740fb2bc
31.149.102.109,800000090300a00f37fcc100,17,8455117,9,00a00f37fcc100
45.80.100.26,800011ae0508bd43ea8ae433,393,229776,4526,No Mac indication (0x03)
31.160.66.248,800000090300a4530e10263c,2,7352058,9,00a4530e10263c
31.160.9.155,8000000903000006f6edbaa0,3,10698157,9,000006f6edbaa0
31.149.86.225,80000009030000eabdd5d6ea,2,102647834,9,0000eabdd5d6ea
31.186.160.1,0000000903004006d5529a96,12,63411660,9,not_set
31.149.230.145,800000090300e4387ecdf180,7,13886437,9,00e4387ecdf180
5.39.173.94,80000009032c3311a412f0,0,0,9,2c3311a412f0
37.114.92.193,800000090300442b03309426,7,19692383,9,00442b03309426
31.160.35.175,80000009030000f28bec0204,2,4136505,9,0000f28bec0204
31.3.9.139,80000009030058ac78268c80,16,4549997,9,0058ac78268c80
37.74.169.3,80000009030084b261a9f4e0,26,1474552,9,0084b261a9f4e0
31.160.222.120,800000090300843dc6cf96a8,1,41733527,9,00843dc6cf96a8
31.160.140.112,80000009030080e01d454024,3,16313103,9,0080e01d454024
37.153.245.32,800000090300a0ecf94c0070,11,73138331,9,00a0ecf94c0070
5.255.89.54,80001f88803743c8102d671a5b00000000,54,27005115,8072,No Mac indication (0x03)
31.160.218.17,800000090300707db9894064,2,7253968,9,00707db9894064
37.114.89.207,0000000903005c3e06c2ab20,3,33870774,9,not_set
37.114.94.116,800000090300000000000000,2,46209414,9,00000000000000
31.160.68.7,800000090300a4530e1023f8,2,42162824,9,00a4530e1023f8
31.160.176.201,800000090300e4387e994300,9,17447294,9,00e4387e994300
5.255.78.67,800000e804435a333630325748484c,8,1748341002,232,No Mac indication (0x03)
5.253.88.214,80000009030000df1de74901,12,10900113,9,0000df1de74901
31.149.241.146,800000090300e4387ed46a80,13,9150450,9,00e4387ed46a80
45.11.167.140,8000000903005c710d2cbe09,3,28166417,9,005c710d2cbe09
37.153.214.233,80000009030070db98fb99b0,6,48908770,9,0070db98fb99b0
37.114.88.146,8000000903003c13ccee2680,17,71336526,9,003c13ccee2680
31.3.13.45,8000000903003c5731684280,16,99056660,9,003c5731684280
31.3.9.225,800000090300d4e880f64700,18,5942940,9,00d4e880f64700
23.249.235.67,0000000903005c3e06c2ab20,3,33870774,9,not_set
37.74.29.213,800000090300188b9d4341f0,10,46903358,9,00188b9d4341f0
31.149.157.7,800000090300c4f7d516372c,1,64959075,9,00c4f7d516372c
5.159.34.194,8000000903006400f175f780,9,104459860,9,006400f175f780
37.143.82.253,0000000903003c13ccffa750,2,7114716,9,not_set
31.20.204.0,502660000000010030000010,6,49023111,1344692224,not_set
37.114.94.110,0000000903005c3e06c2abe6,9,24573699,9,not_set
31.149.203.176,800000090300002cc81a6590,2,84320860,9,00002cc81a6590
31.149.74.255,800000090300ac3a67d2ef80,13,1786194,9,00ac3a67d2ef80
5.10.118.51,f5717f001c7354abd300,10,84620076,1970372352,No Mac indication (0x03)
37.114.89.82,8000000903003c13ccee2700,8,140092419,9,003c13ccee2700
37.114.94.49,0000000903005c3e06c2abe6,9,24573699,9,not_set
31.149.125.73,8000000903006c8d7773b900,16,27814224,9,006c8d7773b900
37.74.29.211,800000090300188b9d4341f0,10,46903359,9,00188b9d4341f0
31.171.204.198,8000000903002c5a0f227a00,14,64658165,9,002c5a0f227a00
31.149.232.153,800000090300e4387ed02b00,7,14771560,9,00e4387ed02b00
5.189.219.253,0000000903000896ad248c71,12,28159078,9,not_set
31.160.196.41,8000000903006cb2aed26d62,1,430136,9,006cb2aed26d62
45.9.172.226,800000090300a00f37eb9500,22,12548383,9,00a00f37eb9500
24.132.115.255,80000009030000a289271400,8,29066078,9,0000a289271400
31.20.246.1,502660000000031201007169,2,50150809,1344692224,not_set
31.161.25.81,800000090300cc167ed371c8,2,15355255,9,00cc167ed371c8
31.21.192.1,502660000000031201007163,3,65182062,1344692224,not_set
37.203.59.231,800000090300001ef6253a01,2,272754090,9,00001ef6253a01
37.26.228.142,800000090300c828e5ccb681,6,45455594,9,00c828e5ccb681
31.151.176.172,80000b2f05b0c287783f6f33,1,3729153,2863,No Mac indication (0x03)
31.160.219.111,80000009030084b802e49a60,1,9584163,9,0084b802e49a60
31.3.15.42,800000090300008764928bd8,4,154632,9,00008764928bd8
31.149.60.79,8000000903002c4f5251e3cc,2,6573649,9,002c4f5251e3cc
5.178.112.142,80003a8c04,0,0,invalid,invalid
5.39.175.102,8000000903f80f6fe4c650,0,0,9,f80f6fe4c650
5.39.174.17,80000009032c3311a412f0,0,0,9,2c3311a412f0
37.153.215.71,800000090300001bd40ad800,2,40167027,9,00001bd40ad800
31.7.0.2,8000000903003a9c269440,0,0,9,003a9c269440
23.249.238.170,800000090300e4aa5d0ed480,24,11363950,9,00e4aa5d0ed480
31.161.44.209,8000000903004c5d3c3e7320,14,8298825,9,004c5d3c3e7320
37.153.204.17,8000000903002c5741b5ac00,10,5917401,9,002c5741b5ac00
37.235.112.145,80000009030040ce24d97a80,8,106440619,9,0040ce24d97a80
31.161.1.115,8000000903006c5e3bd57100,10,385463,9,006c5e3bd57100
37.26.227.64,000000090300cced4dbbb7d0,3,6544056,9,not_set
31.161.64.0,800000090300c4f7d51624bc,1,64958992,9,00c4f7d51624bc
31.160.61.249,80000009030000fcba714b7a,2,102215581,9,0000fcba714b7a
5.200.30.118,80000009030000a2eefb0a60,49,70167728,9,0000a2eefb0a60
45.9.172.242,800000090300a00f37d55900,10,62461318,9,00a00f37d55900
31.184.96.0,502660000000010030000125,6,49974646,1344692224,not_set
37.153.218.1,800000090300588d091bb8a0,6,175738137,9,00588d091bb8a0
45.80.100.85,800011ae05a42b8c297a4833,166,105391,4526,No Mac indication (0x03)
31.160.245.71,80000009030020cc279b2017,1,6572881,9,0020cc279b2017
37.44.8.65,80003a8c04,0,0,invalid,invalid
23.249.238.193,0000000903005c3e06c2ab20,3,33870781,9,not_set
5.104.141.105,800063a203443192fb4c17,5,54219395,25506,443192fb4c17
31.149.28.200,800000090300c4f7d5b9db20,2,105340135,9,00c4f7d5b9db20
37.1.104.224,80000009030010b3d6aeaf88,12,41129450,9,0010b3d6aeaf88
31.3.8.31,800000090300007888895c00,15,99137774,9,00007888895c00
31.20.175.0,502660000000010030000078,6,57237572,1344692224,not_set
31.160.45.209,800000090300e4387ed25200,8,3539335,9,00e4387ed25200
5.79.112.64,800000090300000911e71d08,5,54493143,9,00000911e71d08
37.114.95.41,0000000903005c3e06c2abe6,9,24573706,9,not_set
37.74.60.129,8000000903006cb2ae634d80,13,53890894,9,006cb2ae634d80
