saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
91.103.23.35,588736347,145.94.229.153,2581946001,58821,246,udp,1,161,58593,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300848a8dbc453002010a02040b3de9870400040004003030040c800000090300848a8dbc45300400a81e020237f002010002010030123010060a2b060106030f0101040041022870,,,,,0,0,2025-06-02T14:10:38.758+0200,1748866238,758326
94.213.206.255,4291745118,145.94.229.153,2581946001,55689,243,udp,1,161,46651,113,3067020103300e02024a69020205dc040100020103041f301d040c8000000903006c410e51c80002013502040092cd4e0400040004003031040c8000000903006c410e51c8000400a81f020237f002010002010030133011060a2b060106030f01010400410301b47b,,,,,0,0,2025-06-02T14:10:38.811+0200,1748866238,811798
93.186.190.178,2998843997,145.94.229.153,2581946001,50073,56,udp,1,161,44708,115,3069020103300e02024a69020208000401000201030420301e040d80000634b20400001014d3d196020100020402a2cf270400040004003032040d80000634b20400001014d3d1960400a81f020237f002010002010030133011060a2b060106030f010104004103087a5a,,,,,0,0,2025-06-02T14:10:39.374+0200,1748866239,374042
95.142.48.243,4080045663,145.94.229.153,2581946001,21116,246,udp,1,161,36118,113,3067020103300e02024a69020205dc040100020103041f301d040c80000009030000260b199b18020103020407cf7ae90400040004003031040c80000009030000260b199b180400a81f020237f002010002010030133011060a2b060106030f010104004103017624,,,,,0,0,2025-06-02T14:10:39.570+0200,1748866239,570368
92.64.72.240,4031266908,145.94.229.153,2581946001,63441,245,udp,1,161,33893,111,3065020103300e02024a69020205dc040100020103041e301c040c80000009030084b2613c5bf802010202031ba82b0400040004003030040c80000009030084b2613c5bf80400a81e020237f002010002010030123010060a2b060106030f0101040041020171,,,,,0,0,2025-06-02T14:10:39.724+0200,1748866239,724808
93.117.237.25,434992477,145.94.229.153,2581946001,45469,243,udp,1,161,52043,109,3063020103300e02024a6902022ee004010002010304293027040b800007db03cc208cbc107802010b0203129e430400040c0000000000000000000000000400302304000400a81d02010002010002010030123010060a2b060106030f0101040041020153,,,,,0,0,2025-06-02T14:10:39.736+0200,1748866239,736766
94.211.61.1,20829022,145.94.229.153,2581946001,7953,244,udp,1,161,40739,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300285261fb840002010d0204017f4a710400040004003031040c800000090300285261fb84000400a81f020237f002010002010030133011060a2b060106030f0101040041030457e9,,,,,0,0,2025-06-02T14:10:40.118+0200,1748866240,118461
89.39.106.32,543827801,145.94.229.153,2581946001,10955,55,udp,1,161,46120,123,3071020103300f02024a69020300ffe304010002010304243022041180001f88802d759159edc0436600000000020102020401f9d1eb0400040004003035041180001f88802d759159edc04366000000000400a81e020237f002010002010030123010060a2b060106030f0101040041020a7d,,,,,0,0,2025-06-02T14:10:40.147+0200,1748866240,147025
93.90.67.207,3477297757,145.94.229.153,2581946001,41366,246,udp,1,161,58064,112,3066020103300e02024a69020205dc040100020103041f301d040c8000000903001c6a7ac616aa0201010204028c99580400040004003030040c8000000903001c6a7ac616aa0400a81e020237f002010002010030123010060a2b060106030f0101040041022ef3,,,,,0,0,2025-06-02T14:10:40.215+0200,1748866240,215792
141.136.126.0,8292493,145.94.229.153,2581946001,24901,245,udp,1,161,40520,112,3066020103300e02024a69020205dc040100020103041e301c040c8000000903006c2056618a000201160203410bf90400040004003031040c8000000903006c2056618a000400a81f020237f002010002010030133011060a2b060106030f0101040041030e04f1,,,,,0,0,2025-06-02T14:10:40.276+0200,1748866240,276789
