ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
46.144.160.241,8000000903006cab058e1f48,2,14777544,9,006cab058e1f48
31.201.3.255,502660000000010030000010,6,49031433,1344692224,not_set
80.57.20.1,80000009030028526128e000,10,4139216,9,0028526128e000
77.83.189.202,80003a8c04,0,0,invalid,invalid
85.17.245.192,8000000903000012d92bfe10,3,210199516,9,000012d92bfe10
37.1.108.140,800000090300b0aa772bbdc4,2,8813542,9,00b0aa772bbdc4
81.173.49.248,800000090300a00f37ff8000,13,16327088,9,00a00f37ff8000
31.184.93.1,502660000000010030001004,4,16290695,1344692224,not_set
77.60.93.210,80000009030070db985b8f20,1,12378013,9,0070db985b8f20
46.144.128.96,80000009030000351aedeff0,2,33009874,9,0000351aedeff0
46.144.73.113,80000009030078baf9aa886c,2,79136204,9,0078baf9aa886c
85.146.195.129,800007db0320283e74c06e,11,79498004,2011,20283e74c06e
83.85.134.1,800000090300a0f8496a1800,9,4924428,9,00a0f8496a1800
31.200.210.83,80000634b20400001014ccd196,2,122446409,1588,No Mac indication (0x03)
84.25.225.0,8000000903006c410e153000,10,33133941,9,006c410e153000
82.174.109.0,502660000000010030000006,8,48770084,1344692224,not_set
84.30.187.56,80001f888021f2c82f239a9954,206,13257055,8072,No Mac indication (0x03)
23.249.238.122,0000000903005c3e06c2abe6,9,24582022,9,not_set
83.83.91.126,8000124c0570188b229e2d33,109,2419245,4684,No Mac indication (0x03)
83.174.128.151,800000090300c4641363cb72,1,39320945,9,00c4641363cb72
84.22.99.112,80001f88800c6900386b60855700000000,24,108686953,8072,No Mac indication (0x03)
62.165.69.51,8000000903003a9c246c60,0,0,9,003a9c246c60
31.149.226.41,800000090300e4387ecd6f80,6,7271201,9,00e4387ecd6f80
77.249.97.255,80000009030000ebd5ed6800,13,28296179,9,0000ebd5ed6800
31.149.202.121,8000000903003c8b7f66ba70,6,77772057,9,003c8b7f66ba70
85.233.197.154,800000090300bc4a56a906c0,4,77965570,9,00bc4a56a906c0
84.28.188.1,800000090300d4ad710c7800,12,28470824,9,00d4ad710c7800
46.144.193.145,80000009030000351aed3c9e,4,58076849,9,0000351aed3c9e
31.186.165.29,00000009030010b3d6dc3c70,12,91807677,9,not_set
85.146.225.201,8000000903007411b2a9a200,10,8850480,9,007411b2a9a200
84.30.134.235,8000124c05485ab63ac0b533,290,1615517,4684,No Mac indication (0x03)
82.75.255.255,8000000903000029c2018000,8,32703043,9,000029c2018000
31.160.172.232,800000090300707db9894154,3,42294970,9,00707db9894154
