IP,Enterprise Code,MAC,Vendor
95.97.113.114,8072,No Mac indication (0x03),net-snmp
109.109.106.192,9,00a84fb1b2df80,ciscoSystems
145.131.99.194,9,not_set,ciscoSystems
145.94.44.1,9,0020cfae843840,ciscoSystems
145.131.197.247,9,007c0ece45d6c0,ciscoSystems
145.131.247.139,9,not_set,ciscoSystems
109.235.34.111,9,not_set,ciscoSystems
87.236.0.204,9,00e4387e612900,ciscoSystems
91.223.124.46,9,00005056be1487,ciscoSystems
94.103.148.176,9,000005740fb2bc,ciscoSystems
145.131.120.153,9,00006bf1f3c98e,ciscoSystems
92.110.58.0,9,000029c2017000,ciscoSystems
109.109.100.185,9,not_set,ciscoSystems
145.145.34.6,9,00246c848e89a0,ciscoSystems
145.145.10.18,25506,No Mac indication (0x03),H3C
93.117.238.166,2011,d8109fc2eda0,"HUAWEI Technology Co.,Ltd"
94.228.139.45,9,00a80c0df1cf50,ciscoSystems
91.102.208.0,9,00d4789b474600,ciscoSystems
94.142.212.249,9,0000260b7a5c62,ciscoSystems
94.209.123.236,2863,No Mac indication (0x03),Thomson Inc.
139.122.218.17,9,0000876444ba80,ciscoSystems
145.131.104.239,9,not_set,ciscoSystems
145.131.151.81,9,006c8d77dcef80,ciscoSystems
92.68.161.38,8741,2cb8eda79a50,"SonicWALL, Inc."
94.209.10.0,9,00285261293c00,ciscoSystems
92.65.70.61,9,00005d73e96264,ciscoSystems
93.117.232.81,9,006c0309aa0280,ciscoSystems
145.131.161.53,9,0084b802824560,ciscoSystems
93.191.2.31,9,002c33119eaf80,ciscoSystems
93.92.29.233,9,003c13ccee2680,ciscoSystems
134.19.179.85,2636,0c599c5c7100,"Juniper Networks, Inc."
109.107.176.117,8072,No Mac indication (0x03),net-snmp
95.211.95.129,invalid,invalid,
86.109.13.39,2117796681,not_set,
95.155.190.20,9,00a411bb249700,ciscoSystems
144.178.249.128,9,006cb2aed2130d,ciscoSystems
94.208.13.255,9,00848a8df19400,ciscoSystems
94.209.36.83,4684,No Mac indication (0x03),Ambit Microsystems Corporation
95.99.102.1,1344692224,not_set,
144.178.81.32,9,00dc8c37d81b00,ciscoSystems
109.235.39.8,9,0000077d45ed50,ciscoSystems
92.66.135.233,9,0070db98a19230,ciscoSystems
144.178.234.48,9,00cc167ea5d5db,ciscoSystems
151.236.147.28,9,00e4c722e8b11d,ciscoSystems
93.117.250.237,13191,70fc8c160dfc,OneAccess
89.20.90.12,8072,No Mac indication (0x03),net-snmp
94.209.2.158,2863,No Mac indication (0x03),Thomson Inc.
93.117.226.113,13191,70fc8c1614fc,OneAccess
95.97.7.212,8072,No Mac indication (0x03),net-snmp
91.238.154.130,9,0027e3b19220,ciscoSystems
93.184.103.108,9,00b08bcf3ac300,ciscoSystems
94.190.200.83,8072,No Mac indication (0x03),net-snmp
87.236.5.253,9,007c210ecb7700,ciscoSystems
145.94.62.255,9,0044ae25363ae0,ciscoSystems
91.215.7.194,9,0058ac786cd000,ciscoSystems
145.128.243.106,9,No Mac indication (0x03),ciscoSystems
94.208.96.25,4684,No Mac indication (0x03),Ambit Microsystems Corporation
93.117.238.137,9,0024d79c3c0600,ciscoSystems
91.213.190.254,9,a8b456f663f6,ciscoSystems
89.146.36.51,9,00d4e880c80580,ciscoSystems
92.70.157.169,invalid,invalid,
93.117.208.179,9,007411b2a89500,ciscoSystems
145.222.49.158,9,003a9c403145,ciscoSystems
92.64.243.96,9,00649ef3129840,ciscoSystems
92.48.192.17,9,bc1665bfcd40,ciscoSystems
145.131.225.84,9,00c471feaee0fb,ciscoSystems
90.145.71.2,1991,002438c932c0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
151.236.144.95,9,00f80f6fc6e68d,ciscoSystems
91.189.209.89,9,00500f807e2d00,ciscoSystems
137.174.145.92,9,0028b591de3540,ciscoSystems
94.142.210.152,9,00500f8054d500,ciscoSystems
92.70.88.148,9,00f07f06393148,ciscoSystems
92.66.150.143,9,004c5d3c541070,ciscoSystems
147.75.86.117,1518407524,not_set,
