IP,Enterprise Code,MAC,Vendor
31.149.167.89,9,00d4c93c902d00,ciscoSystems
37.153.251.248,9,00cc46d62afc70,ciscoSystems
31.160.110.136,9,0000c164b75d18,ciscoSystems
31.149.202.225,9,00bce712b71800,ciscoSystems
31.149.56.86,8072,No Mac indication (0x03),net-snmp
31.149.9.129,9,00e4387ecdda80,ciscoSystems
5.10.127.128,9,4c0082fc5440,ciscoSystems
31.160.201.209,9,001cfc179aee00,ciscoSystems
37.114.95.86,9,not_set,ciscoSystems
31.160.32.143,9,0000fcbaad4460,ciscoSystems
31.149.60.87,9,002c4f5251e430,ciscoSystems
23.249.238.122,9,not_set,ciscoSystems
2.16.37.255,9,006c0309d77de0,ciscoSystems
37.0.83.32,9,007cad4fae0100,ciscoSystems
31.160.252.18,9,00e4387ed79280,ciscoSystems
37.114.90.203,9,not_set,ciscoSystems
5.255.89.52,8072,No Mac indication (0x03),net-snmp
31.171.203.213,8072,No Mac indication (0x03),net-snmp
5.200.16.193,9,005ce176db9201,ciscoSystems
37.114.92.170,9,not_set,ciscoSystems
5.200.22.72,8072,No Mac indication (0x03),net-snmp
45.80.100.74,4526,No Mac indication (0x03),Netgear
37.235.119.137,9,00bc5a565fbf00,ciscoSystems
37.153.205.159,9,0068cae4b9bb40,ciscoSystems
23.249.233.77,9,not_set,ciscoSystems
31.20.206.255,1344692224,not_set,
23.249.236.25,9,00d48cb558f456,ciscoSystems
31.3.12.81,1991,748ef8621780,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
37.0.95.41,9,00d4e880c1d280,ciscoSystems
23.249.235.61,9,00503de5eb5218,ciscoSystems
5.102.140.173,invalid,invalid,
31.200.210.81,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
31.149.158.95,9,0000f28bb4f3a2,ciscoSystems
31.161.245.153,9,00e4387e990300,ciscoSystems
37.74.187.24,9,0000f28b9e7310,ciscoSystems
37.153.192.97,9,00a0ecf94c0070,ciscoSystems
5.159.33.67,9,001caa0753fd03,ciscoSystems
37.17.219.190,9,004800b32ffa80,ciscoSystems
45.81.222.151,9,not_set,ciscoSystems
24.132.221.0,9,00f4bd9ee3f000,ciscoSystems
31.3.12.228,9,not_set,ciscoSystems
31.149.137.40,9,000019aa75a581,ciscoSystems
31.3.11.63,9,00500f8054d300,ciscoSystems
31.149.15.35,9,002cd02d044bac,ciscoSystems
37.114.94.22,9,00ac7a56840b57,ciscoSystems
45.81.223.222,9,0020cfae861781,ciscoSystems
37.235.114.8,9,000845d1b2f700,ciscoSystems
37.153.243.189,invalid,invalid,
31.160.174.120,9,002c4f52f572c6,ciscoSystems
31.160.58.185,9,00a03d6e6d3700,ciscoSystems
5.22.250.249,8072,No Mac indication (0x03),net-snmp
31.200.210.98,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
31.149.255.167,9,0064f69d0f07ac,ciscoSystems
23.249.238.88,9,0078baf9a9a178,ciscoSystems
31.160.225.9,9,0058ac781f2e4c,ciscoSystems
31.149.14.96,9,00d0e042361700,ciscoSystems
31.149.109.201,9,00f8c650790ce0,ciscoSystems
23.249.232.199,9,00d48cb562ee1a,ciscoSystems
37.74.22.49,8072,1056ca1b3da8,net-snmp
37.74.71.208,9,00d4e880ed153e,ciscoSystems
37.114.88.99,9,not_set,ciscoSystems
31.7.0.1,9,003a9c269440,ciscoSystems
31.3.9.36,9,0058ac78269080,ciscoSystems
5.79.107.28,8072,No Mac indication (0x03),net-snmp
37.153.211.25,9,00000000000000,ciscoSystems
45.81.222.6,9,0084ebefe4dc81,ciscoSystems
