"Running as user ""root"" and group ""root"". This could be dangerous."
Capturing on 'wlp0s20f3'
ip.src_host;snmp.msgAuthoritativeEngineID;snmp.msgAuthoritativeEngineBoots;snmp.msgAuthoritativeEngineTime
94.228.128.84;800000090300a80c0df1cf50;15;122002025
89.149.217.215;80001f8880b8244a57e5ae2656;8831;1825
145.102.242.65;8000000903005006ab638100;33;1826225
93.184.99.130;80000009030000a5bfb0ba30;50;4503091
94.75.247.62;800000090300000911e71d08;5;55019492
154.14.176.6;800000090300e44e2dba9ee7;6;27219918
95.142.50.66;8000000903000017df51a41b;3;19923283
89.30.209.194;800000090300eeab292f92;0;0
91.214.148.4;8000000903006cb2aed0ff00;30;56578182
93.117.214.153;800000090300889cadf43880;12;25780405
145.120.3.65;800063a280d89403e2a58800000001;1;255218813
92.66.4.80;800000090300a0ecf9c4094a;1;859226
93.117.234.140;800000090300007888be447c;1;42059023
139.28.203.75;80000009030000eeab238d80;33;2255091
89.20.95.152;80000009030028ac9ec329b0;4;4987631
91.106.230.1;0000000903004006d5529a96;12;63938028
87.212.190.1;502660000000031201007173;2;50590755
91.213.53.11;800000090300bcd295ff4800;42;23865705
91.235.83.14;800000090300000000000000;5;17392339
94.209.203.1;800000090300285261fb6400;15;30792697
144.178.201.114;800000090300188090157e00;32;6540374
91.198.123.50;80001f8880a70db16d48f6016400000000;6;8715899
94.213.195.26;8000124c051c3e842080f933;187;1135043
92.70.56.12;80001f88031056ca1b3f1c;1;1116557
93.117.222.161;800033870370fc8c687340;0;0
93.92.26.159;800000090300acf2c5e6087c;2;104560830
145.128.242.154;80000009ee000008e3fffc2c;1;39740412
94.231.252.0;8000000903002cd02df87c00;12;47717504
92.67.61.184;800000090300bcd2954f4400;24;81304185
109.234.37.196;80001f8880bab4ac3d45c05b5400000000;21;7386648
91.103.21.182;800000090300ec01d597b781;22;7358182
91.103.23.150;8000000903004c5d3c21cb81;11;11122427
94.101.104.55;800000090300502fa8524800;4;24431830
91.198.103.17;80001f8880e45d2f5bbdc0d55a00000000;28;67291805
94.211.48.167;8000124c05acd1b845b63733;38;1095621
145.94.36.255;80000009030044ae25363c20;22;26319698
89.20.65.83;800000090300b0aa77ee8102;7;153868997
88.218.155.98;80000634b20400001014d3d196;0;44224830
89.149.210.99;80000009030070ca9b6b0301;9;4160320
94.190.200.122;80003a8c04;0;0
94.214.79.1;800000090300285261fabc00;12;30027377
109.235.37.91;8000000903000cd5d3428800;6;6916083
92.48.254.3;8000000903c08c60a6ed20;0;0
89.255.222.23;800000090300ecbd1d7ebc00;39;19850388
92.66.91.224;8000000903006cab05dd039a;9;21015314
95.211.13.127;8000000903000012d92bfe10;3;210717570
91.189.211.216;80000009030058ac78269080;11;99669446
95.99.236.1;502660000000010030000144;7;50155481
89.200.94.245;80001f8880e017ca54f3733d6800000000;1;8932
145.128.221.153;800000090300649ef3da7de0;11;9592657
93.117.243.85;800000090300b8a37767ca00;46;12713494
87.213.234.224;80000009030000215556aace;3;99095568
93.117.241.41;800033870370fc8c144c0f;0;0
93.92.27.50;80000009030010f311eec960;2;61604862
89.30.224.6;000000090300d46d506d20a3;10;85191904
109.201.134.41;800000e804435a3134313430303447;2;8552954
130.78.1.223;8000000903002c86d2121700;56;69124235
89.207.29.63;800000090300881dfcd32400;4;174496203
109.109.107.101;800000090300a84fb1b2df80;14;33837347
94.213.71.155;8000124c0570188b10253933;107;2997176
145.131.208.159;8000000903000017e02df09a;3;61099790
95.98.104.1;502660000000010030001003;4;16808789
92.110.108.1;8000000903000029c2017000;8;31321882
92.65.19.97;8000000903009cd57d014837;2;8655814
93.117.194.137;800000090300a49bcd794a80;18;1634652
92.70.66.18;80001f88801fc6a9241cb69b65;19;419616
145.222.217.3;8000000903002698214e42;0;0
145.15.92.25;8000000903003a9c403143;0;0
91.232.115.183;800000090300b0aa7727b000;21;89675544
93.117.226.25;800033870370fc8c590080;0;0
93.117.213.197;8000000903007411b2a76c80;48;13377
92.68.209.125;80000009030028940fc93968;4;3473923
93.117.247.37;800033870370fc8c161df0;0;0
91.235.83.16;800000090300000000000000;9;32056673
109.109.109.131;800000090300b0c53ce4ad80;34;32447231
92.70.206.241;80000009030058ac78fd7280;1;78565094
95.211.180.194;80001f888038388241d614265500000000;22;183059974
93.117.195.109;800000090300802dbfb57400;28;8210965
94.209.37.0;8000000903006c410e152c00;9;32617578
93.117.215.177;800000090300ac4a67c12800;28;8740173
94.103.149.95;8000000903000005740fb2bc;8;192466134
145.128.242.168;80000009ee000008e3fffc2c;1;39740423
95.99.144.1;502660000000010030000045;6;49288148
149.143.20.57;800000090300004268df4728;2;2861687
94.208.92.182;8000124c05889ffac5508033;184;1531843
145.128.242.224;80000009ee000008e3fffc2c;1;39740424
94.208.254.182;8000124c053c77e66c0d9b33;388;343117
151.248.52.160;8000000903006cab0514e443;2;37482317
89.98.152.1;8000000903007018a7665c00;39;22301916
87.251.59.253;00000063000000a100000000;1;2179271
92.109.156.1;80000009030000a289265400;32;30792711
144.178.229.134;800000090300b4de31a9848f;1;3007050
89.32.42.254;8000000903f80bcb9f45ca;0;0
89.146.24.155;800000090300d4779817ef00;14;16233739
92.68.72.31;80000009030000df1d140080;14;12619960
91.214.47.228;80001f88800519161bef5a5f6600000000;28;29252
87.239.96.6;800000090300e41f7b4ad600;9;57101973
88.208.52.222;8000000903547fee3673e0;0;0
